id_ruta,codigo_aeronave,precio
1,NAPQILK,775
2,NAPQILK,2440
3,NAPQILK,2097
4,NAPQILK,1100
5,NAPQILK,2240
6,NAPQILK,1155
7,NAPQILK,825
8,NAPQILK,2194
9,NAPQILK,2983
10,NAPQILK,539
1,NAXJKQQ,779
2,NAXJKQQ,600
3,NAXJKQQ,961
4,NAXJKQQ,1648
5,NAXJKQQ,1658
6,NAXJKQQ,1431
7,NAXJKQQ,1296
8,NAXJKQQ,631
9,NAXJKQQ,1368
10,NAXJKQQ,2968
1,PPQOSVM,1530
2,PPQOSVM,2592
3,PPQOSVM,1372
4,PPQOSVM,1688
5,PPQOSVM,2495
6,PPQOSVM,2959
7,PPQOSVM,556
8,PPQOSVM,1868
9,PPQOSVM,2747
10,PPQOSVM,1369
1,PMUZDQL,1900
2,PMUZDQL,717
3,PMUZDQL,1692
4,PMUZDQL,2701
5,PMUZDQL,267
6,PMUZDQL,2849
7,PMUZDQL,2150
8,PMUZDQL,743
9,PMUZDQL,620
10,PMUZDQL,1507
1,LPPQCNS,2217
2,LPPQCNS,1000
3,LPPQCNS,945
4,LPPQCNS,984
5,LPPQCNS,1845
6,LPPQCNS,557
7,LPPQCNS,1047
8,LPPQCNS,2957
9,LPPQCNS,1602
10,LPPQCNS,2079
